id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
2098,280.0,REQUINTE IMÓVEIS,1.0,3.0,2.0,83.0,Rua Doutor Armando Fagundes,RS,"Excelente apartamento, todo mobiliado, com cozinha planejada, 2 quartos, sendo uma suíte, 3 vagas de garagem, ótima localização, próximo a A...",Casa,Pelotas,Areal,380000
2099,159.0,REQUINTE IMÓVEIS,0.0,1.0,2.0,93.0,Andrade Neves,RS,8119- Requinte oferece: apartamento amplo de 2 dormitórios com garagem e ótima posição solar.,Casa,Pelotas,Centro,265000
2100,0.0,Moyses Imóveis,1.0,0.0,2.0,67.0,Hola! Parque Una,RS,"Apto c/ 67,17m² localizado no bairro planejado Parque Una, 2 dormit. sendo 1 suíte, ampla sala 2 ambientes, área comum aos moradores totalme...",Apartamento,Pelotas,Areal,353024
2101,0.0,FUHRO SOUTO IMOBILIARIA,0.0,1.0,2.0,60.0,Avenida Pinheiro Machado,RS,"CONDOMÍNIO FECHADO COM PISCINA: primeiro bloco, 2dorms. wc, sala, cozinha, desocupado. R$160.000,00.",Apartamento,Pelotas,Fragata,160000
2102,0.0,FUHRO SOUTO IMOBILIARIA,0.0,1.0,3.0,77.0,Rua General Vasco Alves,RS,"CONSTRUÇÃO NOVA NO AREAL:3 dorms, sala de estar e jantar, cozinha americana, wc, área de serviço, garagem privativa. R$271.000",Apartamento,Pelotas,Areal,271900
2103,190.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,3.0,95.0,Lobo da Costa,RS,"CENTRAL: 3 dormitórios, sala, cozinha, banheiro social e auxiliar, estacionamento.R$220.000",Apartamento,Pelotas,Centro,220000
2104,0.0,SUCASA,0.0,1.0,2.0,50.0,Endereço Não Informado,RS,"O Residencial Parque Primavera é uma excelente opção para quem busca conforto, privacidade e lazer em um empreendimento Minha Casa Minha Vid...",Apartamento,Pelotas,Areal,129900
2105,197.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,2.0,78.0,Marechal Deodoro da Fonseca,RS,"CENTRO, PRÓX. BENEFICÊNCIA: 2 dorm, sala de estar e jantar, lareira. Financiável.R$225.000 A24132",Apartamento,Pelotas,Centro,225000
2106,0.0,MAP Corretores de Imóveis,0.0,0.0,1.0,58.0,Rua Professor Doutor Araújo,RS,Casa desocupada central. Excelente ponto comercial e/ou residencial. Pátio pequeno.,Casa,Pelotas,Centro,190000
2107,1.2,MARQUES IMÓVEIS,1.0,2.0,3.0,231.0,,RS,"0186 - Cobertura na QUINZE DE NOVEMBRO, bairro CENTRO, 03 dormitórios, 01 suíte, closet, estar social, jantar, sacada, cozinha, dep.empregad...",Apartamento,Pelotas,Centro,900000
2108,0.0,Moyses Imóveis,0.0,0.0,0.0,39.0,Art Home & Work,RS,"Sala Comercial no Bairro Quartier. Edifício Art Work conta com uma excelente infraestrutura, além de estar situado em zona de alta expansão ...",Conjunto Comercial/Sala,Pelotas,Três Vendas,195920
2109,250.0,FUHRO SOUTO IMOBILIARIA,0.0,0.0,1.0,48.0,Rua Gonçalves Chaves,RS,"EM FRENTE A UCPEL: 1 dorm., sala ampla, cozinha, área de serviço, wc social, sacada de frente. R$180.000. 15510",Apartamento,Pelotas,Centro,180000
